epoch,time,loss,loss_e,loss_r,loss_static,path_gamma,val_mrr_filter,val_H@1,val_H@3,val_H@10,best_mrr,patience_left
0,2026-06-28T18:17:11,6.638097883451103,4.5478096645657375,0.0,0.0,0.18266980350017548,,,,,0.0,5
1,2026-06-28T18:21:37,4.6062328874474705,3.450861604300269,0.0,0.0,0.19770947098731995,0.4930148124694824,0.379140242934227,0.5523256063461304,0.7168193459510803,0.4930148124694824,5
2,2026-06-28T18:26:06,4.203641134520175,3.071077275197498,0.0,0.0,0.19644472002983093,0.5193271636962891,0.40586093068122864,0.583098441362381,0.7377848327159882,0.5193271636962891,5
3,2026-06-28T18:30:29,4.028746871271543,2.868938149398703,0.0,0.0,0.19530227780342102,0.524587869644165,0.409678190946579,0.5910265743732452,0.7458891272544861,0.524587869644165,5
4,2026-06-28T18:34:51,3.912334392173062,2.7482035484644447,0.0,0.0,0.19843603670597076,0.5304037928581238,0.4159032255411148,0.5972515940666199,0.7498825788497925,0.5304037928581238,5
5,2026-06-28T18:39:14,3.845241968781248,2.6657865861854932,0.0,0.0,0.2019134908914566,0.532564640045166,0.41707776486873627,0.599072128534317,0.7503523826599121,0.532564640045166,5
6,2026-06-28T18:43:39,3.783771601053748,2.6032404897630017,0.0,0.0,0.20721273124217987,0.5357918739318848,0.42212826013565063,0.6034179329872131,0.7495301961898804,0.5357918739318848,5
7,2026-06-28T18:48:06,3.699992827849813,2.5391677199023786,0.0,0.0,0.2136637568473816,0.5370239019393921,0.4251820594072342,0.6004228293895721,0.7514094412326813,0.5370239019393921,5
8,2026-06-28T18:52:35,3.6954118194359755,2.5073673500873075,0.0,0.0,0.21905440092086792,0.538981556892395,0.42712004482746124,0.6037702858448029,0.750469833612442,0.538981556892395,5
9,2026-06-28T18:57:00,3.60546074920755,2.4487974405682125,0.0,0.0,0.22341004014015198,0.5390225648880005,0.42688514292240143,0.6021846234798431,0.7521141767501831,0.5390225648880005,5
10,2026-06-28T19:01:24,3.6198172083388855,2.42000811701954,0.0,0.0,0.228864386677742,0.5408804416656494,0.42946910858154297,0.6045924723148346,0.7525840103626251,0.5408804416656494,5
11,2026-06-28T19:05:47,3.5381054876267712,2.3774381218963723,0.0,0.0,0.23753182590007782,0.5420567989349365,0.43076111376285553,0.6066478788852692,0.7549917995929718,0.5420567989349365,5
12,2026-06-28T19:10:10,3.516391146497758,2.348791204663393,0.0,0.0,0.24814993143081665,0.5410548448562622,0.4298214912414551,0.6059431433677673,0.7524078190326691,0.5420567989349365,4
13,2026-06-28T19:14:34,3.4889600347764422,2.322588017277985,0.0,0.0,0.255733460187912,0.5412924885749817,0.4315245449542999,0.6033591628074646,0.7509396374225616,0.5420567989349365,3
14,2026-06-28T19:18:57,3.4562527263912037,2.291813286617644,0.0,0.0,0.26419296860694885,0.5421314239501953,0.43123093247413635,0.6056495308876038,0.7508221864700317,0.5421314239501953,5
15,2026-06-28T19:23:24,3.431759209916143,2.2663970371284106,0.0,0.0,0.27233371138572693,0.5420666933059692,0.43164201080799103,0.6043575406074524,0.752231627702713,0.5421314239501953,4
16,2026-06-28T19:27:49,3.401694078846733,2.236584755257018,0.0,0.0,0.28087955713272095,0.5408827066421509,0.4304087460041046,0.6023608148097992,0.7516443729400635,0.5421314239501953,3
17,2026-06-28T19:32:09,3.387921124008229,2.215367062257068,0.0,0.0,0.29195329546928406,0.5422204732894897,0.4326990842819214,0.6034179031848907,0.7512919902801514,0.5422204732894897,5
18,2026-06-28T19:36:29,3.3484800025181407,2.1911437230141644,0.0,0.0,0.30386558175086975,0.5406760573387146,0.4304087460041046,0.6027719080448151,0.7504110932350159,0.5422204732894897,4
19,2026-06-28T19:40:55,3.3491668795595073,2.177487059985057,0.0,0.0,0.3112461566925049,0.5404139757156372,0.4307023882865906,0.6038289964199066,0.7495889365673065,0.5422204732894897,3
20,2026-06-28T19:47:15,3.3087488741371103,2.1487669539530283,0.0,0.0,0.3222810924053192,0.5391791462898254,0.4289405792951584,0.6016561090946198,0.7477096617221832,0.5422204732894897,2
21,2026-06-28T19:51:34,3.2915798948936335,2.129422652446004,0.0,0.0,0.3290673792362213,0.5370335578918457,0.42600424587726593,0.6003641188144684,0.7453605830669403,0.5422204732894897,1
22,2026-06-28T19:55:56,3.262699497414894,2.107489059467127,0.0,0.0,0.3356778621673584,0.5369333028793335,0.42500588297843933,0.6031242907047272,0.7474747598171234,0.5422204732894897,0
